# ----------------------------------------
# 사용자 획득: 신규 사용자 기본 채널 그룹(기본 채널 그룹)
# 계정: charlla
# 속성: charlla
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20260401
# 종료일: 20260430
신규 사용자 기본 채널 그룹(기본 채널 그룹),첫 사용자 소스 / 매체,총 사용자,새 사용자 수,재방문자 수,활성 사용자당 평균 참여 시간,활성 사용자당 참여 세션수,이벤트 수,주요 이벤트,사용자 주요 이벤트 비율
Referral,angelyojung.cafe24.com / referral,1,1,0,37,1,10,1,1
Referral,aromigagu1.cafe24.com / referral,1,1,0,114,1,18,5,1
Referral,awesomehabi1029.cafe24.com / referral,1,0,1,44,3,35,0,0
Referral,baabaamall.cafe24.com / referral,1,0,1,64,1,28,0,0
Referral,bachacha.cafe24.com / referral,1,0,1,79,2,28,0,0
Referral,baruner.cafe24.com / referral,1,1,1,1,0,10,0,0
Referral,bergwerk.cafe24.com / referral,1,1,0,7,1,22,0,0
Referral,bestme01.cafe24.com / referral,1,1,1,22,1,14,0,0
Referral,big2love.cafe24.com / referral,1,0,1,65,1,19,0,0
Referral,blackparrot.cafe24.com / referral,1,1,1,213,1,17,1,1
Referral,bluegrain.cafe24.com / referral,1,1,1,0,0,10,0,0
Referral,bluepack2026.cafe24.com / referral,1,1,0,39,1,44,5,1
Referral,bs2korea.cafe24.com / referral,1,0,1,17,1,13,1,1
Referral,bylab0315.cafe24.com / referral,1,1,1,186,2,29,0,0
Referral,catenoid.local / referral,1,1,1,1,0,6,0,0
Referral,celora.cafe24.com / referral,1,0,1,85,1,16,0,0
Referral,cfd51260.cafe24.com / referral,1,0,1,5,1,20,1,1
Referral,cheriaube.cafe24.com / referral,1,0,1,395,2,55,0,0
Referral,cherrycrko.cafe24.com / referral,1,0,1,79,1,48,0,0
Referral,chloehan.cafe24.com / referral,1,1,1,87,1,28,0,0
Referral,clemaric.cafe24.com / referral,1,1,0,50,1,21,3,1
Referral,dalmi2020.cafe24.com / referral,1,0,1,141,1,16,0,0
Referral,dasodabeauty.cafe24.com / referral,1,0,1,168,3,75,0,0
Referral,defemme.cafe24.com / referral,1,1,1,74,1,26,0,0
Referral,design-yangji.co.kr / referral,1,1,0,139,1,69,9,1
Referral,dknutrition.cafe24.com / referral,1,0,1,0,0,4,0,0
Referral,dltkd9898.cafe24.com / referral,1,1,1,72,1,13,0,0
Referral,dnwodnjs.cafe24.com / referral,1,0,1,5,1,17,0,0
Referral,dogscat2026.cafe24.com / referral,1,1,1,4,1,11,0,0
Referral,dolbiway1.cafe24.com / referral,1,1,1,0,0,10,0,0
Referral,ebur2231.cafe24.com / referral,1,1,0,3,1,9,0,0
Referral,ecudemo312763.cafe24.com / referral,1,1,1,144,1,19,0,0
Referral,ecudemo360621.cafe24.com / referral,1,0,1,15,1,16,0,0
Referral,ecudemo378833.cafe24.com / referral,1,1,0,93,1,9,0,0
Referral,ecudemo392041.cafe24.com / referral,1,1,0,102,1,13,1,1
Referral,edenne1004.cafe24.com / referral,1,0,1,34,1,18,0,0
Referral,edimedy.cafe24.com / referral,1,1,0,120,1,50,7,1
Referral,ejune06.cafe24.com / referral,1,1,0,28,1,8,0,0
Referral,fallinfuni01.cafe24.com / referral,1,1,0,71,1,22,3,1
Referral,farmtt100bs.cafe24.com / referral,1,1,0,9,1,11,0,0
Referral,featpaper.com / referral,1,1,0,1,0,5,0,0
Referral,fine08.cafe24.com / referral,1,0,1,162,1,22,0,0
Referral,flroa.cafe24.com / referral,1,1,0,63,1,29,0,0
Referral,flyqup11.cafe24.com / referral,1,1,1,224,1,21,0,0
Referral,gbstyle.cafe24.com / referral,1,0,1,12,1,19,0,0
Referral,gemini.google.com / referral,1,1,1,7,1,8,0,0
Referral,genother.cafe24.com / referral,1,0,1,134,3,49,0,0
Referral,giemar.cafe24.com / referral,1,0,1,134,2,29,0,0
Referral,gl0517.cafe24.com / referral,1,0,1,93,1,21,0,0
Referral,gleamigoldplat.cafe24.com / referral,1,1,0,130,1,44,5,1
Referral,gw.arrnn.co.kr / referral,1,1,1,5,1,6,0,0
Referral,h201shift.cafe24.com / referral,1,0,1,38,1,17,0,0
Referral,hacie1.cafe24.com / referral,1,1,0,8,1,6,1,1
Referral,happylalla486.cafe24.com / referral,1,1,0,250,1,36,7,1
Referral,hdkr.cafe24.com / referral,1,0,1,15,1,19,0,0
Referral,hellenstein.cafe24.com / referral,1,1,0,147,1,25,7,1
Referral,heylush.cafe24.com / referral,1,0,1,97,1,23,0,0
Referral,hhgbu.cafe24.com / referral,1,0,1,65,2,47,0,0
Referral,hjmszz.cafe24.com / referral,1,1,1,0,0,10,0,0
Referral,hojaefs001.cafe24.com / referral,1,0,1,0,1,18,0,0
Referral,imb778899.cafe24.com / referral,1,1,0,381,1,46,7,1
Referral,inspringsunshine.cafe24.com / referral,1,1,1,591,2,64,4,1
Referral,jocompany1.cafe24.com / referral,1,0,1,84,2,38,0,0
Referral,kcimegg.cafe24.com / referral,1,1,0,0,0,6,0,0
Referral,kimutaku4.cafe24.com / referral,1,1,0,105,1,72,7,1
Referral,ko2hand.cafe24.com / referral,1,0,1,12,1,24,0,0
Referral,konnybaby.cafe24.com / referral,1,0,1,1,1,17,0,0
Referral,koreafurniture00.cafe24.com / referral,1,1,0,22,1,9,0,0
Referral,koreaking7.cafe24.com / referral,1,1,0,3,1,10,0,0
Referral,lavien17.cafe24.com / referral,1,1,0,141,1,9,0,0
Referral,lennie.cafe24.com / referral,1,1,0,160,1,22,4,1
Referral,likedcompany.cafe24.com / referral,1,0,1,111,3,54,0,0
Referral,lilyeve.cafe24.com / referral,1,1,1,114,1,11,0,0
Referral,linnov.cafe24.com / referral,1,1,1,23,1,18,0,0
Referral,liondaughter.cafe24.com / referral,1,0,1,93,1,11,0,0
Referral,lookast.cafe24.com / referral,1,1,1,192,3,67,6,1
Referral,lookds.cafe24.com / referral,1,0,1,35,1,20,0,0
Referral,mail.google.com / referral,1,1,1,0,3,17,3,1
Referral,maket612.cafe24.com / referral,1,1,0,116,1,24,3,1
Referral,mandoo01966.cafe24.com / referral,1,0,1,114,2,58,2,1
Referral,meowbox0383.cafe24.com / referral,1,1,0,1,1,10,1,1
Referral,midnm2019.cafe24.com / referral,1,0,1,45,1,18,0,0
Referral,minie06051004.cafe24.com / referral,1,1,1,25,3,23,3,1
Referral,miyawa.cafe24.com / referral,1,0,1,32,2,32,0,0
Referral,mmcoco.cafe24.com / referral,1,0,1,24,2,50,0,0
Referral,mondada0506.cafe24.com / referral,1,1,0,91,1,9,0,0
Referral,myhomesick.cafe24.com / referral,1,0,1,33,1,34,3,1
Referral,namfood.cafe24.com / referral,1,1,0,1335,1,44,12,1
Referral,namu.wiki / referral,1,1,0,92,1,11,0,0
Referral,nextgeeker.com / referral,1,1,1,2,1,8,0,0
Referral,nix0310.cafe24.com / referral,1,1,1,0,0,10,0,0
